type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
ES          27          81          -5          -4          -5          3           16          
Enzyme      27          91          2           1           2           2           9           
Substrate   27          100         4           -7          4           -8          12          
Enzyme      28          19          9           4           10          3           11          
Substrate   28          22          0           5           -2          3           9           
Substrate   28          42          -3          -15         2           -18         13          
ES          28          60          -1          -9          -6          -10         12          
ES          28          67          -5          -4          -9          -5          14          
Enzyme      28          72          -3          -17         -4          -21         10          
ES          28          87          -6          4           -5          7           13          
Substrate   29          40          2           5           -3          2           10          
Substrate   29          89          -14         0           -15         -3          14          
Substrate   29          108         4           -2          5           -1          14          
Substrate   29          120         3           1           0           1           10          
Substrate   30          4           -1          5           4           6           9           
Substrate   31          28          2           -2          1           2           16          
ES          31          54          -12         2           -19         5           13          
Substrate   31          99          1           8           2           8           11          
Substrate   32          8           1           16          4           11          13          
Substrate   32          83          -4          -2          -3          -2          1           
ES          32          90          -3          -5          1           -5          5           
Substrate   33          12          5           -5          7           -6          2           
Substrate   33          33          0           1           -3          2           11          
Substrate   33          45          4           3           9           1           12          
Substrate   33          48          -4          2           -11         5           12          
Substrate   33          52          -2          -2          -11         3           17          
Substrate   33          81          -5          16          -8          12          11          
Substrate   33          88          17          -3          17          0           14          
Substrate   33          91          9           -5          2           -3          15          
Substrate   33          97          -7          -9          -8          -11         13          
Enzyme      33          117         -12         -1          -16         1           11          
Substrate   34          12          9           12          12          12          13          
Substrate   34          16          -1          -5          2           -2          12          
Substrate   34          49          1           -12         -5          -12         9           
Substrate   34          82          4           8           5           10          3           
Substrate   34          87          -11         -6          -9          -7          11          
Substrate   34          119         2           7           4           6           10          
Substrate   35          24          -5          -12         -5          -9          9           
Substrate   35          32          -5          -8          -7          -11         11          
Substrate   35          39          -2          -1          -1          -2          10          
Substrate   35          47          -7          -5          -9          -1          13          
Enzyme      35          103         0           -14         -2          -10         11          
Substrate   36          2           -2          -4          5           -3          14          
ES          36          7           -12         0           -13         3           12          
Substrate   36          24          4           3           1           3           14          
Substrate   36          37          -1          -4          4           -6          12          
Substrate   36          46          10          12          10          15          19          
