type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Substrate   112         89          15          -13         15          -8          14          
ES          112         116         -2          17          0           18          12          
Substrate   112         119         9           -2          9           -4          10          
Substrate   112         127         -10         14          -8          6           11          
Enzyme      113         10          16          2           16          -1          9           
Substrate   113         26          18          11          17          16          11          
Substrate   113         122         3           -1          6           2           17          
ES          114         26          -4          0           -3          -2          18          
Substrate   114         42          -12         8           -15         10          13          
ES          114         52          -3          -7          0           -7          13          
Substrate   114         69          11          18          13          18          8           
Substrate   114         83          0           2           0           2           0           
ES          115         22          2           9           3           11          15          
ES          115         44          -10         4           -11         2           9           
Substrate   115         58          -15         2           -16         7           13          
ES          115         66          5           -3          3           0           10          
Product     115         75          3           -7          4           -4          3           
Substrate   115         125         9           12          5           10          15          
Substrate   116         11          1           4           0           2           6           
Substrate   116         14          -7          11          -4          10          13          
Substrate   116         17          -12         10          -12         12          10          
ES          116         46          -1          4           3           4           10          
ES          116         64          -12         13          -13         13          11          
Substrate   116         86          -3          -16         -4          -15         12          
Substrate   117         1           1           5           5           5           11          
Product     117         62          5           -4          4           -11         12          
Substrate   117         89          2           -9          4           -9          19          
Enzyme      117         92          -3          8           -1          11          3           
Enzyme      117         103         0           -11         -1          -13         8           
Enzyme      117         109         -11         -8          -12         -4          11          
Enzyme      117         116         0           -6          1           -1          9           
ES          117         118         -7          -11         -5          -15         15          
Substrate   117         127         15          1           9           3           12          
Substrate   118         65          -1          11          -5          11          11          
Substrate   118         75          6           -4          10          -4          13          
Enzyme      118         91          -6          -19         -11         -16         11          
Substrate   118         99          6           9           6           6           13          
Substrate   118         107         -6          2           -7          2           9           
Substrate   118         111         -7          2           -6          4           19          
Substrate   118         114         4           -3          1           -3          16          
Product     118         116         9           2           3           2           9           
Substrate   118         126         13          -8          8           -5          15          
ES          119         73          6           1           3           -2          7           
Enzyme      119         78          2           -12         1           -13         14          
Enzyme      119         82          -12         13          -12         16          15          
Substrate   119         84          -7          8           -7          9           9           
Substrate   119         90          -11         -6          -5          -4          15          
Product     119         96          -1          3           -1          3           0           
Substrate   119         121         1           -1          -4          -1          12          
Substrate   121         10          -16         -6          -13         -10         12          
Substrate   121         38          -6          -2          -4          -2          9           
Enzyme      121         46          -3          -9          0           -8          5           
Substrate   121         89          13          8           20          4           7           
Enzyme      121         126         -4          -6          -4          -6          0           
ES          121         127         14          -12         15          -10         20          
Substrate   122         8           -5          -4          -5          -7          17          
Enzyme      122         27          5           16          9           20          19          
Substrate   122         36          0           19          1           24          8           
Substrate   122         44          -9          5           -7          6           15          
Substrate   122         56          1           11          0           9           10          
Substrate   122         63          -1          -9          3           -10         21          
Substrate   122         73          12          -4          12          -1          12          
Substrate   122         114         17          0           18          3           14          
Substrate   123         17          -6          5           -6          5           9           
Substrate   123         22          -8          -4          -5          -3          11          
Substrate   123         83          -6          -6          0           -5          16          
ES          123         90          9           2           9           0           11          
Substrate   123         98          -9          -2          -9          -5          10          
ES          123         108         -4          14          -1          17          6           
Substrate   123         116         3           -4          3           0           10          
Substrate   124         62          -9          1           -1          -2          16          
Substrate   124         67          -6          -5          -7          -6          14          
ES          124         69          -4          3           -9          1           10          
Enzyme      124         83          -8          1           -2          5           15          
Substrate   124         102         -1          5           2           1           13          
Substrate   124         111         10          8           15          11          13          
Enzyme      124         115         0           4           2           1           7           
ES          125         8           -3          -6          -1          -3          10          
Enzyme      125         30          2           8           5           10          8           
Substrate   125         43          -21         4           -18         7           12          
Substrate   125         66          7           6           8           9           8           
Substrate   125         69          -5          -8          -4          -9          9           
ES          125         78          -1          1           -3          -2          12          
Substrate   125         112         2           18          0           20          8           
ES          126         56          -6          -5          -3          -4          8           
Substrate   126         59          -14         -14         -13         -17         18          
Substrate   126         65          3           12          4           9           10          
Enzyme      126         103         -1          -2          -1          1           12          
Substrate   127         4           4           2           8           2           10          
Substrate   127         20          5           -7          12          -12         12          
Substrate   127         24          13          10          12          10          14          
Substrate   127         56          -8          -3          -10         -9          16          
Substrate   127         94          -1          -5          -6          -6          13          
